id,hard_label,soft_unstable_prob,soft_stable_prob,mean_diff,changed_ratio
TRAIN_0001,unstable,0.999300835226066,0.0006991647739339468,6.143602159288195,0.04354519314236111
TRAIN_0002,unstable,0.9999999999999838,1.6209256159527285e-14,13.40264892578125,0.10686577690972222
TRAIN_0003,unstable,0.8394486579332556,0.16055134206674437,4.481126573350695,0.027438693576388888
TRAIN_0004,unstable,0.9218180360630497,0.07818196393695032,4.722154405381945,0.030917697482638888
TRAIN_0005,stable,0.0007631055174663467,0.9992368944825336,1.8633694118923612,0.003241644965277778
TRAIN_0006,unstable,0.013752155600742917,0.9862478443992571,2.7247992621527777,0.0113525390625
TRAIN_0007,unstable,1.0,0.0,16.884446885850693,0.1534966362847222
TRAIN_0008,unstable,0.9999999999984155,1.5845103007450234e-12,12.045369466145834,0.1052517361111111
TRAIN_0009,unstable,0.8164741270200391,0.18352587297996092,4.433152940538195,0.027201334635416668
TRAIN_0010,stable,0.008649102527742652,0.9913508974722574,2.5872802734375,0.013231065538194444
TRAIN_0011,unstable,0.9993341098013078,0.0006658901986922316,6.158779568142361,0.0462646484375
TRAIN_0012,stable,0.07928361175585757,0.9207163882441425,3.2698228624131946,0.027459038628472224
TRAIN_0013,unstable,0.9997743633771554,0.00022563662284458275,6.479437934027778,0.05133056640625
TRAIN_0014,unstable,0.9975824066200473,0.0024175933799527316,5.780110677083333,0.03489854600694445
TRAIN_0015,unstable,0.994837407664183,0.005162592335816951,5.550075954861111,0.03298611111111111
TRAIN_0016,unstable,0.6293246301891426,0.37067536981085736,4.150092230902778,0.024081759982638888
TRAIN_0017,stable,0.007083073817127611,0.9929169261828724,2.5314398871527777,0.012668185763888888
TRAIN_0018,unstable,1.0,0.0,19.9617919921875,0.16212293836805555
TRAIN_0019,unstable,0.999690671035862,0.0003093289641380448,6.387797037760417,0.04667833116319445
TRAIN_0020,stable,0.019614986441197076,0.9803850135588029,2.8356865776909723,0.018798828125
TRAIN_0021,unstable,0.9999999847410161,1.5258983854238295e-08,9.327195909288195,0.08238389756944445
TRAIN_0022,stable,0.0011245496176567494,0.9988754503823433,1.9781833224826388,0.006490071614583333
TRAIN_0023,stable,0.012523727638607766,0.9874762723613922,2.7025010850694446,0.015916612413194444
TRAIN_0024,stable,0.056985841906708384,0.9430141580932916,3.1641710069444446,0.025444878472222224
TRAIN_0025,stable,0.0012808913156834119,0.9987191086843166,2.0164998372395835,0.004937065972222222
TRAIN_0026,stable,0.018721337256342143,0.9812786627436578,2.822238498263889,0.01910400390625
TRAIN_0027,stable,0.22504271460002037,0.7749572853999797,3.6371392144097223,0.033928765190972224
TRAIN_0028,unstable,0.9975475266490416,0.0024524733509584395,5.772006564670139,0.03570556640625
TRAIN_0029,unstable,0.9999999999999849,1.509903313490213e-14,13.422993977864584,0.10930718315972222
TRAIN_0030,unstable,0.9278934297911272,0.07210657020887279,4.748914930555555,0.030463324652777776
TRAIN_0031,stable,0.019813564394088035,0.980186435605912,2.8387518988715277,0.018174913194444444
TRAIN_0032,stable,0.2295724317122181,0.7704275682877819,3.65228271484375,0.03543429904513889
TRAIN_0033,unstable,0.9999999999981617,1.838307284174334e-12,12.00222439236111,0.10563829210069445
TRAIN_0034,unstable,0.9279488804568891,0.07205111954311094,4.748250325520833,0.027018229166666668
TRAIN_0035,stable,0.0012437124167280697,0.998756287583272,2.0091010199652777,0.007127549913194444
TRAIN_0036,stable,0.0035444429150424174,0.9964555570849576,2.3202311197916665,0.011176215277777778
TRAIN_0037,unstable,1.0,0.0,15.784912109375,0.13383653428819445
TRAIN_0038,unstable,0.9959468733726626,0.004053126627337367,5.622782389322917,0.03419325086805555
TRAIN_0039,unstable,0.7148275600435462,0.2851724399564538,4.262702094184028,0.025166829427083332
TRAIN_0040,stable,0.0023681696346436166,0.9976318303653564,2.1994425455729165,0.006754557291666667
TRAIN_0041,stable,0.003489088874924164,0.9965109111250758,2.324367947048611,0.01092529296875
TRAIN_0042,stable,0.045268717304530436,0.9547312826954696,3.092251247829861,0.023668077256944444
TRAIN_0043,stable,0.024664078979020062,0.97533592102098,2.903286404079861,0.018954806857638888
TRAIN_0044,unstable,0.6046695262749671,0.39533047372503294,4.111551920572917,0.03847927517361111
TRAIN_0045,stable,0.006592304015180671,0.9934076959848194,2.5093858506944446,0.011834038628472222
TRAIN_0046,stable,0.0007696839937780235,0.999230316006222,1.8659328884548612,0.003872341579861111
TRAIN_0047,unstable,1.0,0.0,20.570081922743057,0.16375732421875
TRAIN_0048,stable,0.397810847643031,0.602189152356969,3.875522189670139,0.038384331597222224
TRAIN_0049,stable,0.022615776869494886,0.9773842231305051,2.8745930989583335,0.019395616319444444
TRAIN_0050,unstable,0.9882621856958311,0.01173781430416887,5.304857042100695,0.034586588541666664
